Common_Course_ID,has_prereq,Course_Dept,Course_Num,,
ARTF369,Has pre-req,ARTF,369,,
ARTF370,Has pre-req,ARTF,370,,
ARTF456,Has pre-req,ARTF,456,,
ARTM257,Has pre-req,ARTM,257,,
ARTM357,Has pre-req,ARTM,357,,
ARTM457,Has pre-req,ARTM,457,,
ARTM459,Has pre-req,ARTM,459,,
ARTO250,Has pre-req,ARTO,250,,
ARTO251,Has pre-req,ARTO,251,,
ARTO350,Has pre-req,ARTO,350,,
ARTO352,Has pre-req,ARTO,352,,
ARTO354,Has pre-req,ARTO,354,,
ARTO450,Has pre-req,ARTO,450,,
ARTO455,Has pre-req,ARTO,455,,
ARTO476,Has pre-req,ARTO,476,,
ARTO484,Has pre-req,ARTO,484,,
ARTP281,Has pre-req,ARTP,281,,
ARTP381,Has pre-req,ARTP,381,,
ARTP390,Has pre-req,ARTP,390,,
ARTP391,Has pre-req,ARTP,391,,
ARTP481,Has pre-req,ARTP,481,,
ARTR245,Has pre-req,ARTR,245,,
ARTR346,Has pre-req,ARTR,346,,
ARTR347,Has pre-req,ARTR,347,,
ARTR348,Has pre-req,ARTR,348,,
ARTR349,Has pre-req,ARTR,349,,
ARTR446,Has pre-req,ARTR,446,,
ARTS288,Has pre-req,ARTS,288,,
ARTS393,Has pre-req,ARTS,393,,
ARTS491,Has pre-req,ARTS,491,,
ARTS493,Has pre-req,ARTS,493,,
ASL101,Has pre-req,ASL,101,,
ASL102,Has pre-req,ASL,102,,
ASL103,Has pre-req,ASL,103,,
ASL201,Has pre-req,ASL,201,,
ASL202,Has pre-req,ASL,202,,
ASL203,Has pre-req,ASL,203,,
ASTR321,Has pre-req,ASTR,321,,
BA215,Has pre-req,BA,215,,
BA308,Has pre-req,BA,308,,
BA308H,Has pre-req,BA,308,,
BA315,Has pre-req,BA,315,,
BA316,Has pre-req,BA,316,,
BA317,Has pre-req,BA,317,,
BA318,Has pre-req,BA,318,,
BA325,Has pre-req,BA,325,,
BA430,Has pre-req,BA,430,,
BA453,Has pre-req,BA,453,,
BE325,Has pre-req,BE,325,,
BI211,Has pre-req,BI,211,,
BI212,Has pre-req,BI,212,,
BI213,Has pre-req,BI,213,,
BI214,Has pre-req,BI,214,,
BI281H,Has pre-req,BI,281,,
BI282H,Has pre-req,BI,282,,
BI283H,Has pre-req,BI,283,,
