Common_Course_ID,has_prereq
BI480,Has pre-req
BI484,Has pre-req
BI485,Has pre-req
BI486,Has pre-req
BI487,Has pre-req
BI488,Has pre-req
BI489,Has pre-req
BI493,Has pre-req
BIOE251,Has pre-req
BIOE252,Has pre-req
BIOE253,Has pre-req
CDS201,Has pre-req
CDS431,Has pre-req
CDS444,Has pre-req
CDS450,Has pre-req
CDS451,Has pre-req
CDS458,Has pre-req
CDS460,Has pre-req
CDS462,Has pre-req
CDS470,Has pre-req
CH111,Has pre-req
CH113,Has pre-req
CH221,Has pre-req
CH222,Has pre-req
CH223,Has pre-req
CH224H,Has pre-req
CH225H,Has pre-req
CH226H,Has pre-req
CH227,Has pre-req
CH228,Has pre-req
CH229,Has pre-req
CH237,Has pre-req
CH238,Has pre-req
CH239,Has pre-req
CH331,Has pre-req
CH335,Has pre-req
CH336,Has pre-req
CH337,Has pre-req
CH338,Has pre-req
CH339,Has pre-req
CH341,Has pre-req
CH342,Has pre-req
CH343,Has pre-req
CH348,Has pre-req
CH349,Has pre-req
CH360,Has pre-req
CH411,Has pre-req
CH412,Has pre-req
CH413,Has pre-req
CH418,Has pre-req
CH419,Has pre-req
CH420,Has pre-req
CH421,Has pre-req
CH429,Has pre-req
CH437,Has pre-req
CH441,Has pre-req
CH442,Has pre-req
CH443,Has pre-req
CH444,Has pre-req
CH445,Has pre-req
CH446,Has pre-req
CH447,Has pre-req
CH451,Has pre-req
CH453,Has pre-req
CH454,Has pre-req
CH461,Has pre-req
CH462,Has pre-req
CH463,Has pre-req
CH464,Has pre-req
CH465,Has pre-req
CH466,Has pre-req
CH468,Has pre-req
CHN102,Has pre-req
CHN103,Has pre-req
CHN105,Has pre-req
CHN106,Has pre-req
CHN201,Has pre-req
CHN202,Has pre-req
CHN203,Has pre-req
CHN204,Has pre-req
CHN205,Has pre-req
CHN206,Has pre-req
CHN301,Has pre-req
CHN302,Has pre-req
CHN303,Has pre-req
CHN305,Has pre-req
CHN306,Has pre-req
CHN307,Has pre-req
CHN308,Has pre-req
CHN350,Has pre-req
CHN351,Has pre-req
CHN381,Has pre-req
CHN411,Has pre-req
CHN412,Has pre-req
CHN420,Has pre-req
CHN421,Has pre-req
CHN422,Has pre-req
CHN439,Has pre-req
CHN445,Has pre-req
CINE198,Has pre-req
CINE270,Has pre-req
CINE320,Has pre-req
CINE370,Has pre-req
CINE408,Has pre-req
CINE410,Has pre-req
CINE411M,Has pre-req
CINE420,Has pre-req
CINE425,Has pre-req
CINE426,Has pre-req
CIS105,Has pre-req
CIS111,Has pre-req
CIS115,Has pre-req
CIS122,Has pre-req
CIS210,Has pre-req
CIS211,Has pre-req
CIS212,Has pre-req
CIS313,Has pre-req
CIS314,Has pre-req
CIS315,Has pre-req
CIS322,Has pre-req
CIS323,Has pre-req
CIS330,Has pre-req
CIS333,Has pre-req
CIS372M,Has pre-req
CIS401,Has pre-req
CIS403,Has pre-req
CIS405,Has pre-req
CIS407,Has pre-req
CIS409,Has pre-req
CIS413,Has pre-req
CIS415,Has pre-req
CIS420,Has pre-req
CIS422,Has pre-req
CIS423,Has pre-req
CIS425,Has pre-req
